GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
47001020100,140,47,001,28940,314,,,Census Tract 201,3111,1794,2471,1606,3111,2471
47001020201,140,47,001,28940,314,,,Census Tract 202.01,3670,1691,3243,1400,3670,3243
47001020202,140,47,001,28940,314,,,Census Tract 202.02,4507,2215,3983,1835,4507,3983
47001020300,140,47,001,28940,314,,,Census Tract 203,3822,1869,3932,1880,3822,3932
47001020400,140,47,001,28940,314,,,Census Tract 204,4508,2429,4435,2453,4508,4435
47001020500,140,47,001,28940,314,,,Census Tract 205,3864,1833,3632,1792,3864,3632
47001020600,140,47,001,28940,314,,,Census Tract 206,2427,1060,2556,1067,2427,2556
47001020700,140,47,001,28940,314,,,Census Tract 207,1668,773,1995,834,1668,1995
47001020800,140,47,001,28940,314,,,Census Tract 208,4875,2184,4889,2207,4875,4889
47001020901,140,47,001,28940,314,,,Census Tract 209.01,5837,2610,5020,2199,5837,5020
47001020902,140,47,001,28940,314,,,Census Tract 209.02,5815,2526,5564,2347,5815,5564
47001021000,140,47,001,28940,314,,,Census Tract 210,6108,2702,6261,2642,6108,6261
47001021100,140,47,001,28940,314,,,Census Tract 211,3980,1830,3623,1609,3980,3623
47001021201,140,47,001,28940,314,,,Census Tract 212.01,4887,1999,4710,1902,4887,4710
47001021202,140,47,001,28940,314,,,Census Tract 212.02,5372,2712,5376,2716,5372,5376
47001021301,140,47,001,28940,314,,,Census Tract 213.01,3302,1449,3067,1296,3302,3067
47001021302,140,47,001,28940,314,,,Census Tract 213.02,7376,3041,6570,2663,7376,6570
47001980100,140,47,001,28940,314,,,Census Tract 9801,0,0,0,0,0,0
47003950100,140,47,003,43180,999,,,Census Tract 9501,3672,1483,3045,1226,3672,3045
47003950200,140,47,003,43180,999,,,Census Tract 9502,6909,2708,5650,2133,6909,5650
47003950300,140,47,003,43180,999,,,Census Tract 9503,3532,1499,3195,1280,3532,3195
47003950401,140,47,003,43180,999,,,Census Tract 9504.01,5423,2093,4244,1613,5423,4244
47003950402,140,47,003,43180,999,,,Census Tract 9504.02,6901,2788,5402,2149,6901,5402
47003950500,140,47,003,43180,999,,,Census Tract 9505,5928,2422,5040,2115,5928,5040
47003950600,140,47,003,43180,999,,,Census Tract 9506,6979,2907,5878,2409,6979,5878
47003950700,140,47,003,43180,999,,,Census Tract 9507,2763,1150,2403,948,2763,2403
47003950800,140,47,003,43180,999,,,Census Tract 9508,2951,1310,2728,1116,2951,2728
47005963000,140,47,005,99999,999,,,Census Tract 9630,3409,2148,3363,1989,3409,3363
47005963100,140,47,005,99999,999,,,Census Tract 9631,3074,1671,3035,1546,3074,3035
47005963200,140,47,005,99999,999,,,Census Tract 9632,2088,1319,1989,1217,2088,1989
47005963300,140,47,005,99999,999,,,Census Tract 9633,3692,1806,3863,1839,3692,3863
47005963400,140,47,005,99999,999,,,Census Tract 9634,4226,2031,4287,2004,4226,4287
47007953000,140,47,007,99999,999,,,Census Tract 9530,3321,1689,3095,1420,3321,3095
47007953100,140,47,007,99999,999,,,Census Tract 9531,5195,2490,5178,2418,5195,5178
47007953200,140,47,007,99999,999,,,Census Tract 9532,4360,1539,4093,1302,4360,4093
47009010100,140,47,009,28940,314,,,Census Tract 101,2718,1274,2436,1193,2718,2436
47009010200,140,47,009,28940,314,,,Census Tract 102,5721,2683,5435,2509,5721,5435
47009010301,140,47,009,28940,314,,,Census Tract 103.01,5275,2801,5290,2782,5275,5290
47009010302,140,47,009,28940,314,,,Census Tract 103.02,3296,1526,3305,1516,3296,3305
47009010400,140,47,009,28940,314,,,Census Tract 104,3217,1463,3080,1374,3217,3080
47009010500,140,47,009,28940,314,,,Census Tract 105,2700,1421,2601,1379,2700,2601
47009010600,140,47,009,28940,314,,,Census Tract 106,4243,1632,4108,1687,4243,4108
47009010700,140,47,009,28940,314,,,Census Tract 107,4680,2040,4462,1932,4680,4462
47009010800,140,47,009,28940,314,,,Census Tract 108,3227,1432,2960,1393,3227,2960
47009010900,140,47,009,28940,314,,,Census Tract 109,5812,2533,5105,2267,5812,5105
47009011001,140,47,009,28940,314,,,Census Tract 110.01,5524,2448,4629,1999,5524,4629
47009011002,140,47,009,28940,314,,,Census Tract 110.02,3986,1718,3339,1403,3986,3339
47009011101,140,47,009,28940,314,,,Census Tract 111.01,5223,2160,4367,1840,5223,4367
47009011102,140,47,009,28940,314,,,Census Tract 111.02,8743,3493,7542,2756,8743,7542
47009011200,140,47,009,28940,314,,,Census Tract 112,7915,3503,5504,2514,7915,5504
47009011301,140,47,009,28940,314,,,Census Tract 113.01,5709,2290,4644,1845,5709,4644
47009011302,140,47,009,28940,314,,,Census Tract 113.02,5290,2247,4303,1810,5290,4303
47009011401,140,47,009,28940,314,,,Census Tract 114.01,1778,1285,1605,1078,1778,1605
47009011402,140,47,009,28940,314,,,Census Tract 114.02,4437,3005,4008,2521,4437,4008
47009011501,140,47,009,28940,314,,,Census Tract 115.01,1738,852,1410,666,1738,1410
47009011502,140,47,009,28940,314,,,Census Tract 115.02,4065,1717,3300,1342,4065,3300
47009011503,140,47,009,28940,314,,,Census Tract 115.03,6789,2855,5512,2232,6789,5512
47009011602,140,47,009,28940,314,,,Census Tract 116.02,9061,3711,6908,2805,9061,6908
47009011603,140,47,009,28940,314,,,Census Tract 116.03,4801,2025,4031,1646,4801,4031
47009011604,140,47,009,28940,314,,,Census Tract 116.04,3757,1569,3154,1276,3757,3154
47009011605,140,47,009,28940,314,,,Census Tract 116.05,3278,1566,2753,1273,3278,2753
47009980100,140,47,009,28940,314,,,Census Tract 9801,2,1,1,0,2,1
47009980200,140,47,009,28940,314,,,Census Tract 9802,25,16,22,13,25,22
47011010100,140,47,011,17420,174,,,Census Tract 101,4719,2117,4654,2037,4719,4654
47011010200,140,47,011,17420,174,,,Census Tract 102,5082,2446,4645,2075,5082,4645
47011010300,140,47,011,17420,174,,,Census Tract 103,2570,1169,2431,1073,2570,2431
47011010400,140,47,011,17420,174,,,Census Tract 104,2500,1270,2492,1280,2500,2492
47011010500,140,47,011,17420,174,,,Census Tract 105,3777,1227,3047,1229,3777,3047
47011010600,140,47,011,17420,174,,,Census Tract 106,3196,1531,2978,1502,3196,2978
47011010700,140,47,011,17420,174,,,Census Tract 107,4818,2026,4538,1996,4818,4538
47011010800,140,47,011,17420,174,,,Census Tract 108,3327,1444,3098,1345,3327,3098
47011010900,140,47,011,17420,174,,,Census Tract 109,2880,1276,3021,1262,2880,3021
47011011000,140,47,011,17420,174,,,Census Tract 110,6058,2443,5976,2337,6058,5976
47011011100,140,47,011,17420,174,,,Census Tract 111,9732,3722,7615,2933,9732,7615
47011011201,140,47,011,17420,174,,,Census Tract 112.01,6054,2394,5257,2005,6054,5257
47011011202,140,47,011,17420,174,,,Census Tract 112.02,8917,3553,7419,2819,8917,7419
47011011300,140,47,011,17420,174,,,Census Tract 113,7259,3089,6578,2780,7259,6578
47011011401,140,47,011,17420,174,,,Census Tract 114.01,7617,3154,6923,2883,7617,6923
47011011402,140,47,011,17420,174,,,Census Tract 114.02,2938,1386,2671,1267,2938,2671
47011011500,140,47,011,17420,174,,,Census Tract 115,7743,3170,6685,2734,7743,6685
47011011601,140,47,011,17420,174,,,Census Tract 116.01,4986,1984,4047,1626,4986,4047
47011011602,140,47,011,17420,174,,,Census Tract 116.02,4790,1994,3888,1635,4790,3888
47013950100,140,47,013,29220,314,,,Census Tract 9501,3274,1536,3606,1504,3274,3606
47013950200,140,47,013,29220,314,,,Census Tract 9502,2580,1227,2627,1190,2580,2627
47013950300,140,47,013,29220,314,,,Census Tract 9503,1896,846,1941,828,1896,1941
47013950400,140,47,013,29220,314,,,Census Tract 9504,4804,2364,4768,2226,4804,4768
47013950500,140,47,013,29220,314,,,Census Tract 9505,5213,2390,4730,2031,5213,4730
47013950600,140,47,013,29220,314,,,Census Tract 9506,4684,2143,4943,2228,4684,4943
47013950700,140,47,013,29220,314,,,Census Tract 9507,4702,2232,5020,2452,4702,5020
47013950800,140,47,013,29220,314,,,Census Tract 9508,2374,1327,2136,1164,2374,2136
47013950900,140,47,013,29220,314,,,Census Tract 9509,2999,1870,2837,1570,2999,2837
47013951000,140,47,013,29220,314,,,Census Tract 9510,2604,1306,2451,1158,2604,2451
47013951100,140,47,013,29220,314,,,Census Tract 9511,5586,2725,4794,2175,5586,4794
47015960100,140,47,015,34980,400,,,Census Tract 9601,3859,1692,3624,1510,3859,3624
47015960200,140,47,015,34980,400,,,Census Tract 9602,6602,2939,6119,2671,6602,6119
47015960300,140,47,015,34980,400,,,Census Tract 9603,3340,1406,3083,1239,3340,3083
47017962000,140,47,017,99999,999,,,Census Tract 9620,4447,2106,4771,2170,4447,4771
47017962100,140,47,017,99999,999,,,Census Tract 9621,6823,3163,7127,3125,6823,7127
47017962201,140,47,017,99999,999,,,Census Tract 9622.01,3183,1523,3100,1458,3183,3100
47017962202,140,47,017,99999,999,,,Census Tract 9622.02,4469,1837,4355,1758,4469,4355
47017962300,140,47,017,99999,999,,,Census Tract 9623,4672,2244,5045,2280,4672,5045
47017962400,140,47,017,99999,999,,,Census Tract 9624,2599,1213,2742,1213,2599,2742
47017962500,140,47,017,99999,999,,,Census Tract 9625,2329,1098,2367,1063,2329,2367
47017980100,140,47,017,99999,999,,,Census Tract 9801,0,0,0,0,0,0
47019070100,140,47,019,27740,304,,,Census Tract 701,1995,1025,1994,1066,1995,1994
47019070200,140,47,019,27740,304,,,Census Tract 702,3890,1713,3741,1596,3890,3741
47019070300,140,47,019,27740,304,,,Census Tract 703,5802,2696,5834,2605,5802,5834
47019070400,140,47,019,27740,304,,,Census Tract 704,2260,1010,2239,1003,2260,2239
47019070500,140,47,019,27740,304,,,Census Tract 705,4108,1921,4192,1830,4108,4192
47019070600,140,47,019,27740,304,,,Census Tract 706,2639,1196,2625,1163,2639,2625
47019070700,140,47,019,27740,304,,,Census Tract 707,3376,1564,3341,1440,3376,3341
47019070800,140,47,019,27740,304,,,Census Tract 708,2867,1476,2854,1339,2867,2854
47019070900,140,47,019,27740,304,,,Census Tract 709,3399,1474,3113,1402,3399,3113
47019071000,140,47,019,27740,304,,,Census Tract 710,2976,1449,2969,1367,2976,2969
47019071100,140,47,019,27740,304,,,Census Tract 711,1709,784,1671,738,1709,1671
47019071200,140,47,019,27740,304,,,Census Tract 712,3914,1858,3890,1806,3914,3890
47019071300,140,47,019,27740,304,,,Census Tract 713,7317,3503,6973,3157,7317,6973
47019071400,140,47,019,27740,304,,,Census Tract 714,3501,1721,3541,1651,3501,3541
47019071500,140,47,019,27740,304,,,Census Tract 715,2152,1220,2276,1075,2152,2276
47019071600,140,47,019,27740,304,,,Census Tract 716,1587,1104,1574,902,1587,1574
47019071700,140,47,019,27740,304,,,Census Tract 717,3932,2032,3914,1779,3932,3914
47021070102,140,47,021,34980,400,,,Census Tract 701.02,4243,1681,4280,1600,4243,4280
47021070103,140,47,021,34980,400,,,Census Tract 701.03,3643,1431,3364,1197,3643,3364
47021070104,140,47,021,34980,400,,,Census Tract 701.04,5307,2238,4901,1872,5307,4901
47021070201,140,47,021,34980,400,,,Census Tract 702.01,4145,1533,3387,1216,4145,3387
47021070202,140,47,021,34980,400,,,Census Tract 702.02,5179,1973,4233,1566,5179,4233
47021070203,140,47,021,34980,400,,,Census Tract 702.03,3543,1391,2896,1104,3543,2896
47021070300,140,47,021,34980,400,,,Census Tract 703,3625,1616,3450,1397,3625,3450
47021070401,140,47,021,34980,400,,,Census Tract 704.01,2507,1069,2500,998,2507,2500
47021070402,140,47,021,34980,400,,,Census Tract 704.02,6913,2731,6894,2551,6913,6894
47023970100,140,47,023,27180,297,,,Census Tract 9701,5870,2546,5030,2112,5870,5030
47023970200,140,47,023,27180,297,,,Census Tract 9702,5482,1908,5033,1802,5482,5033
47023970300,140,47,023,27180,297,,,Census Tract 9703,5779,2526,5416,2239,5779,5416
47025970100,140,47,025,99999,999,,,Census Tract 9701,2710,1281,2694,1156,2710,2694
47025970200,140,47,025,99999,999,,,Census Tract 9702,3068,1413,2790,1201,3068,2790
47025970300,140,47,025,99999,999,,,Census Tract 9703,4340,1699,3735,1503,4340,3735
47025970400,140,47,025,99999,999,,,Census Tract 9704,936,388,1002,424,936,1002
47025970500,140,47,025,99999,999,,,Census Tract 9705,2876,1376,2818,1282,2876,2818
47025970600,140,47,025,99999,999,,,Census Tract 9706,4190,2170,3807,1760,4190,3807
47025970700,140,47,025,99999,999,,,Census Tract 9707,5744,2659,5611,2495,5744,5611
47025970800,140,47,025,99999,999,,,Census Tract 9708,3929,1774,3224,1440,3929,3224
47025970900,140,47,025,99999,999,,,Census Tract 9709,4420,2099,4180,1998,4420,4180
47027955000,140,47,027,99999,999,,,Census Tract 9550,5051,2902,5125,2633,5051,5125
47027955100,140,47,027,99999,999,,,Census Tract 9551,2810,1380,2851,1326,2810,2851
47029920100,140,47,029,35460,314,,,Census Tract 9201,3964,1900,3794,1743,3964,3794
47029920200,140,47,029,35460,314,,,Census Tract 9202,5988,2764,5672,2555,5988,5672
47029920300,140,47,029,35460,314,,,Census Tract 9203,4022,1919,3803,1699,4022,3803
47029920400,140,47,029,35460,314,,,Census Tract 9204,1678,1002,1683,924,1678,1683
47029920501,140,47,029,35460,314,,,Census Tract 9205.01,5971,2894,5670,2666,5971,5670
47029920502,140,47,029,35460,314,,,Census Tract 9205.02,5170,2398,4388,1987,5170,4388
47029920600,140,47,029,35460,314,,,Census Tract 9206,4653,2208,4672,2209,4653,4672
47029920700,140,47,029,35460,314,,,Census Tract 9207,4212,2370,3879,2057,4212,3879
47029980100,140,47,029,35460,314,,,Census Tract 9801,4,4,3,3,4,3
