GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
32001950301,140,32,001,21980,999,,,Census Tract 9503.01,3884,1883,3671,1718,3884,3671
32001950302,140,32,001,21980,999,,,Census Tract 9503.02,5268,2360,4955,2150,5268,4955
32001950400,140,32,001,21980,999,,,Census Tract 9504,711,231,1505,361,711,1505
32001950500,140,32,001,21980,999,,,Census Tract 9505,1391,631,1497,610,1391,1497
32001950600,140,32,001,21980,999,,,Census Tract 9506,5359,2194,4589,1738,5359,4589
32001950700,140,32,001,21980,999,,,Census Tract 9507,5701,2456,5382,2141,5701,5382
32003000101,140,32,003,29820,332,,,Census Tract 1.01,6851,2013,6401,1994,6851,6401
32003000105,140,32,003,29820,332,,,Census Tract 1.05,3998,1310,3458,1203,3998,3458
32003000106,140,32,003,29820,332,,,Census Tract 1.06,4263,2105,4106,2045,4263,4106
32003003619,140,32,003,29820,332,,,Census Tract 36.19,3006,1087,9,3,3006,9
32003000107,140,32,003,29820,332,,,Census Tract 1.07,3856,1579,3714,1534,3856,3714
32003000108,140,32,003,29820,332,,,Census Tract 1.08,3681,1156,3639,1179,3681,3639
32003000109,140,32,003,29820,332,,,Census Tract 1.09,3567,1389,3526,1416,3567,3526
32003000201,140,32,003,29820,332,,,Census Tract 2.01,4533,1777,3844,1450,4533,3844
32003000203,140,32,003,29820,332,,,Census Tract 2.03,3582,1932,4419,2042,3582,4419
32003000204,140,32,003,29820,332,,,Census Tract 2.04,1157,412,1345,526,1157,1345
32003000301,140,32,003,29820,332,,,Census Tract 3.01,3103,1207,3501,1341,3103,3501
32003000302,140,32,003,29820,332,,,Census Tract 3.02,4673,1694,5348,1953,4673,5348
32003000402,140,32,003,29820,332,,,Census Tract 4.02,3491,1389,3464,1299,3491,3464
32003000510,140,32,003,29820,332,,,Census Tract 5.10,5503,1379,5581,1367,5503,5581
32003000513,140,32,003,29820,332,,,Census Tract 5.13,3874,1290,3387,1187,3874,3387
32003000514,140,32,003,29820,332,,,Census Tract 5.14,6235,2091,6146,2006,6235,6146
32003000515,140,32,003,29820,332,,,Census Tract 5.15,5104,1486,4329,1466,5104,4329
32003000516,140,32,003,29820,332,,,Census Tract 5.16,5326,1356,4504,1499,5326,4504
32003000517,140,32,003,29820,332,,,Census Tract 5.17,5103,1649,5091,1740,5103,5091
32003000518,140,32,003,29820,332,,,Census Tract 5.18,5297,1876,6567,1888,5297,6567
32003000519,140,32,003,29820,332,,,Census Tract 5.19,4649,1409,5433,1525,4649,5433
32003000520,140,32,003,29820,332,,,Census Tract 5.20,1995,572,2288,557,1995,2288
32003000522,140,32,003,29820,332,,,Census Tract 5.22,3438,1249,3932,1210,3438,3932
32003000523,140,32,003,29820,332,,,Census Tract 5.23,2194,1172,2509,1136,2194,2509
32003000524,140,32,003,29820,332,,,Census Tract 5.24,2288,831,3000,919,2288,3000
32003000526,140,32,003,29820,332,,,Census Tract 5.26,2695,779,2734,769,2695,2734
32003000527,140,32,003,29820,332,,,Census Tract 5.27,3788,987,3842,974,3788,3842
32003000528,140,32,003,29820,332,,,Census Tract 5.28,3255,1164,3302,1149,3255,3302
32003000800,140,32,003,29820,332,,,Census Tract 8,2233,1622,2266,1531,2233,2266
32003000900,140,32,003,29820,332,,,Census Tract 9,942,1173,1163,863,942,1163
32003001003,140,32,003,29820,332,,,Census Tract 10.03,4025,1617,3706,1412,4025,3706
32003001004,140,32,003,29820,332,,,Census Tract 10.04,6368,3205,6397,3048,6368,6397
32003001005,140,32,003,29820,332,,,Census Tract 10.05,1554,647,1724,675,1554,1724
32003001006,140,32,003,29820,332,,,Census Tract 10.06,4172,1976,4160,1956,4172,4160
32003001200,140,32,003,29820,332,,,Census Tract 12,4146,1815,4302,1827,4146,4302
32003001300,140,32,003,29820,332,,,Census Tract 13,4694,1684,4750,1721,4694,4750
32003001401,140,32,003,29820,332,,,Census Tract 14.01,3181,1404,3100,1467,3181,3100
32003001402,140,32,003,29820,332,,,Census Tract 14.02,4162,1132,4056,1183,4162,4056
32003001501,140,32,003,29820,332,,,Census Tract 15.01,2877,1872,3305,2106,2877,3305
32003001607,140,32,003,29820,332,,,Census Tract 16.07,5512,2722,4965,2601,5512,4965
32003001608,140,32,003,29820,332,,,Census Tract 16.08,1861,892,1753,848,1861,1753
32003001610,140,32,003,29820,332,,,Census Tract 16.10,2894,836,2701,794,2894,2701
32003001611,140,32,003,29820,332,,,Census Tract 16.11,4769,1488,3787,1297,4769,3787
32003001612,140,32,003,29820,332,,,Census Tract 16.12,7336,3576,6616,3242,7336,6616
32003001613,140,32,003,29820,332,,,Census Tract 16.13,3999,1336,3696,1247,3999,3696
32003001706,140,32,003,29820,332,,,Census Tract 17.06,3012,1763,2901,1553,3012,2901
32003001707,140,32,003,29820,332,,,Census Tract 17.07,1510,876,1462,829,1510,1462
32003001708,140,32,003,29820,332,,,Census Tract 17.08,3015,1387,3315,1342,3015,3315
32003001709,140,32,003,29820,332,,,Census Tract 17.09,1547,637,1568,617,1547,1568
32003001710,140,32,003,29820,332,,,Census Tract 17.10,4186,1725,4127,1551,4186,4127
32003001711,140,32,003,29820,332,,,Census Tract 17.11,3619,2242,3115,1701,3619,3115
32003001714,140,32,003,29820,332,,,Census Tract 17.14,3344,1164,3300,1178,3344,3300
32003001715,140,32,003,29820,332,,,Census Tract 17.15,2635,863,2412,854,2635,2412
32003001716,140,32,003,29820,332,,,Census Tract 17.16,1579,516,1972,759,1579,1972
32003001717,140,32,003,29820,332,,,Census Tract 17.17,1331,569,1363,557,1331,1363
32003001718,140,32,003,29820,332,,,Census Tract 17.18,3191,1053,2650,919,3191,2650
32003001801,140,32,003,29820,332,,,Census Tract 18.01,6091,2862,5921,3106,6091,5921
32003001804,140,32,003,29820,332,,,Census Tract 18.04,3555,1602,3361,1575,3555,3361
32003001901,140,32,003,29820,332,,,Census Tract 19.01,5887,2258,5339,2177,5887,5339
32003001902,140,32,003,29820,332,,,Census Tract 19.02,4188,1677,3933,1583,4188,3933
32003002000,140,32,003,29820,332,,,Census Tract 20,3942,3698,4452,2921,3942,4452
32003002201,140,32,003,29820,332,,,Census Tract 22.01,3950,2205,4217,2216,3950,4217
32003002203,140,32,003,29820,332,,,Census Tract 22.03,4763,1576,4556,1541,4763,4556
32003002204,140,32,003,29820,332,,,Census Tract 22.04,4400,1584,5203,1566,4400,5203
32003002206,140,32,003,29820,332,,,Census Tract 22.06,3395,1466,3349,1422,3395,3349
32003002207,140,32,003,29820,332,,,Census Tract 22.07,4123,1557,4068,1510,4123,4068
32003002302,140,32,003,29820,332,,,Census Tract 23.02,857,2196,2219,2146,857,2219
32003002303,140,32,003,29820,332,,,Census Tract 23.03,836,777,2165,759,836,2165
32003002403,140,32,003,29820,332,,,Census Tract 24.03,4531,3199,5060,3236,4531,5060
32003002405,140,32,003,29820,332,,,Census Tract 24.05,4164,2256,5166,2271,4164,5166
32003002406,140,32,003,29820,332,,,Census Tract 24.06,3241,2241,2350,1751,3241,2350
32003002501,140,32,003,29820,332,,,Census Tract 25.01,6398,2900,4735,2230,6398,4735
32003002504,140,32,003,29820,332,,,Census Tract 25.04,3848,2194,3726,1775,3848,3726
32003002506,140,32,003,29820,332,,,Census Tract 25.06,3349,2226,3528,2140,3349,3528
32003002603,140,32,003,29820,332,,,Census Tract 26.03,4087,2033,4172,2012,4087,4172
32003002604,140,32,003,29820,332,,,Census Tract 26.04,2285,1560,5379,2312,2285,5379
32003002605,140,32,003,29820,332,,,Census Tract 26.05,909,1248,2139,1850,909,2139
32003002706,140,32,003,29820,332,,,Census Tract 27.06,4283,2183,3510,1766,4283,3510
32003002707,140,32,003,29820,332,,,Census Tract 27.07,3942,1531,3972,1785,3942,3972
32003002708,140,32,003,29820,332,,,Census Tract 27.08,2888,1243,3010,1398,2888,3010
32003002808,140,32,003,29820,332,,,Census Tract 28.08,1827,860,1553,692,1827,1553
32003002810,140,32,003,29820,332,,,Census Tract 28.10,3217,2833,2587,1480,3217,2587
32003002811,140,32,003,29820,332,,,Census Tract 28.11,4036,1677,2034,793,4036,2034
32003002814,140,32,003,29820,332,,,Census Tract 28.14,5080,2198,4858,1835,5080,4858
32003002822,140,32,003,29820,332,,,Census Tract 28.22,3708,1179,3774,1192,3708,3774
32003002823,140,32,003,29820,332,,,Census Tract 28.23,3586,1984,3228,1830,3586,3228
32003002825,140,32,003,29820,332,,,Census Tract 28.25,3053,1230,3265,1252,3053,3265
32003002826,140,32,003,29820,332,,,Census Tract 28.26,2900,1073,2772,1035,2900,2772
32003002827,140,32,003,29820,332,,,Census Tract 28.27,2847,1210,2557,1094,2847,2557
32003002828,140,32,003,29820,332,,,Census Tract 28.28,3329,1829,1977,888,3329,1977
32003002829,140,32,003,29820,332,,,Census Tract 28.29,3914,1521,3814,1398,3914,3814
32003002830,140,32,003,29820,332,,,Census Tract 28.30,6152,2961,3442,1331,6152,3442
32003002831,140,32,003,29820,332,,,Census Tract 28.31,3533,2389,1958,1011,3533,1958
32003002832,140,32,003,29820,332,,,Census Tract 28.32,6051,3591,2574,1313,6051,2574
32003002834,140,32,003,29820,332,,,Census Tract 28.34,5931,2442,3863,1361,5931,3863
32003002835,140,32,003,29820,332,,,Census Tract 28.35,2519,1190,2102,956,2519,2102
32003002836,140,32,003,29820,332,,,Census Tract 28.36,3341,1431,1582,764,3341,1582
32003002841,140,32,003,29820,332,,,Census Tract 28.41,2849,1080,432,164,2849,432
32003002843,140,32,003,29820,332,,,Census Tract 28.43,6365,2435,712,361,6365,712
32003002844,140,32,003,29820,332,,,Census Tract 28.44,5530,2463,619,365,5530,619
32003002846,140,32,003,29820,332,,,Census Tract 28.46,6853,2849,767,422,6853,767
32003002847,140,32,003,29820,332,,,Census Tract 28.47,3727,2876,3745,2065,3727,3745
32003002905,140,32,003,29820,332,,,Census Tract 29.05,5445,2289,5185,2283,5445,5185
32003002916,140,32,003,29820,332,,,Census Tract 29.16,2766,1288,2641,1165,2766,2641
32003002919,140,32,003,29820,332,,,Census Tract 29.19,4161,1794,3917,1473,4161,3917
32003002936,140,32,003,29820,332,,,Census Tract 29.36,3217,1419,2994,1323,3217,2994
32003002937,140,32,003,29820,332,,,Census Tract 29.37,4583,2309,4743,2223,4583,4743
32003002938,140,32,003,29820,332,,,Census Tract 29.38,1485,677,1233,557,1485,1233
32003002939,140,32,003,29820,332,,,Census Tract 29.39,1771,733,1855,667,1771,1855
32003002940,140,32,003,29820,332,,,Census Tract 29.40,3467,1428,2659,1095,3467,2659
32003002941,140,32,003,29820,332,,,Census Tract 29.41,5215,1976,5093,1811,5215,5093
32003002942,140,32,003,29820,332,,,Census Tract 29.42,4435,2105,4117,1787,4435,4117
32003002946,140,32,003,29820,332,,,Census Tract 29.46,2187,1025,2011,913,2187,2011
32003002947,140,32,003,29820,332,,,Census Tract 29.47,2706,1107,2628,991,2706,2628
32003002948,140,32,003,29820,332,,,Census Tract 29.48,3505,1285,3718,1324,3505,3718
32003002949,140,32,003,29820,332,,,Census Tract 29.49,3200,1238,2720,1094,3200,2720
32003002951,140,32,003,29820,332,,,Census Tract 29.51,8296,3865,4734,2565,8296,4734
32003002952,140,32,003,29820,332,,,Census Tract 29.52,2540,1325,2244,1035,2540,2244
32003002953,140,32,003,29820,332,,,Census Tract 29.53,4159,1549,4406,1550,4159,4406
32003002954,140,32,003,29820,332,,,Census Tract 29.54,4250,2157,4448,2154,4250,4448
32003002957,140,32,003,29820,332,,,Census Tract 29.57,1908,1236,2106,1221,1908,2106
32003002958,140,32,003,29820,332,,,Census Tract 29.58,6033,3037,6057,2832,6033,6057
32003002961,140,32,003,29820,332,,,Census Tract 29.61,2013,902,1354,521,2013,1354
32003002962,140,32,003,29820,332,,,Census Tract 29.62,2010,1188,1141,606,2010,1141
32003002964,140,32,003,29820,332,,,Census Tract 29.64,4922,2648,4418,2169,4922,4418
