GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
51001090100,140,51,001,99999,999,,,Census Tract 901,2941,4517,4324,3968,2941,4324
51001090400,140,51,001,99999,999,,,Census Tract 904,6234,2687,6136,2470,6234,6136
51001090500,140,51,001,99999,999,,,Census Tract 905,2849,1361,2882,1363,2849,2882
51001090600,140,51,001,99999,999,,,Census Tract 906,4401,2558,4754,2410,4401,4754
51001090700,140,51,001,99999,999,,,Census Tract 907,4907,2571,5054,2392,4907,5054
51001090800,140,51,001,99999,999,,,Census Tract 908,3336,1825,3641,1798,3336,3641
51001980100,140,51,001,99999,999,,,Census Tract 9801,0,2,0,1,0,0
51001980200,140,51,001,99999,999,,,Census Tract 9802,5,1,7,0,5,7
51001990100,140,51,001,99999,999,,,Census Tract 9901,0,0,0,0,0,0
51001990200,140,51,001,99999,999,,,Census Tract 9902,0,0,0,0,0,0
51003010100,140,51,003,16820,999,,,Census Tract 101,5190,2273,4587,1826,5190,4587
51003010201,140,51,003,16820,999,,,Census Tract 102.01,4664,1821,4353,1606,4664,4353
51003010202,140,51,003,16820,999,,,Census Tract 102.02,3077,1348,2872,1189,3077,2872
51003010300,140,51,003,16820,999,,,Census Tract 103,8098,3204,6589,2480,8098,6589
51003010401,140,51,003,16820,999,,,Census Tract 104.01,4331,2062,3623,1622,4331,3623
51003010500,140,51,003,16820,999,,,Census Tract 105,4543,2497,2622,950,4543,2622
51003010601,140,51,003,16820,999,,,Census Tract 106.01,5817,2665,5109,2276,5817,5109
51003010602,140,51,003,16820,999,,,Census Tract 106.02,2697,1298,2369,1108,2697,2369
51003010700,140,51,003,16820,999,,,Census Tract 107,6145,2814,5735,2755,6145,5735
51003010800,140,51,003,16820,999,,,Census Tract 108,5325,2870,5370,2727,5325,5370
51003010901,140,51,003,16820,999,,,Census Tract 109.01,1900,840,11025,1047,1900,11025
51003010902,140,51,003,16820,999,,,Census Tract 109.02,3191,514,738,480,3191,738
51003010903,140,51,003,16820,999,,,Census Tract 109.03,2613,25,135,113,2613,135
51003011000,140,51,003,16820,999,,,Census Tract 110,6292,2678,6258,2441,6292,6258
51003011100,140,51,003,16820,999,,,Census Tract 111,7024,2853,4551,1811,7024,4551
51003011201,140,51,003,16820,999,,,Census Tract 112.01,4092,1884,3263,1421,4092,3263
51003011302,140,51,003,16820,999,,,Census Tract 113.02,3765,1700,2865,1206,3765,2865
51005080100,140,51,005,99999,999,,,Census Tract 801,3362,1699,3660,1727,3362,3660
51005080201,140,51,005,99999,999,,,Census Tract 802.01,2842,1371,3000,1339,2842,3000
51005080301,140,51,005,99999,999,,,Census Tract 803.01,1905,892,1975,884,1905,1975
51005080302,140,51,005,99999,999,,,Census Tract 803.02,1553,830,1641,711,1553,1641
51007930100,140,51,007,40060,999,,,Census Tract 9301,6913,2915,5994,2417,6913,5994
51007930200,140,51,007,40060,999,,,Census Tract 9302,5777,2444,5406,2192,5777,5406
51009010200,140,51,009,31340,999,,,Census Tract 102,7238,2848,7135,2610,7238,7135
51009010401,140,51,009,31340,999,,,Census Tract 104.01,3375,1462,3084,1328,3375,3084
51009010504,140,51,009,31340,999,,,Census Tract 105.04,4038,1751,3673,1580,4038,3673
51009010600,140,51,009,31340,999,,,Census Tract 106,2758,1196,2800,1108,2758,2800
51011040100,140,51,011,31340,999,,,Census Tract 401,6450,2975,5805,2484,6450,5805
51011040300,140,51,011,31340,999,,,Census Tract 403,4321,2017,4138,1746,4321,4138
51013100300,140,51,013,47900,548,,,Census Tract 1003,6213,2116,5979,2081,6213,5979
51013100400,140,51,013,47900,548,,,Census Tract 1004,3502,1319,3264,1289,3502,3264
51013100500,140,51,013,47900,548,,,Census Tract 1005,4305,1637,3930,1606,4305,3930
51013100600,140,51,013,47900,548,,,Census Tract 1006,3076,1306,2953,1210,3076,2953
51013100700,140,51,013,47900,548,,,Census Tract 1007,5149,2216,5310,2336,5149,5310
51013100800,140,51,013,47900,548,,,Census Tract 1008,1525,529,1479,509,1525,1479
51013100900,140,51,013,47900,548,,,Census Tract 1009,4092,1747,3945,1718,4092,3945
51013101000,140,51,013,47900,548,,,Census Tract 1010,3078,1248,2872,1265,3078,2872
51013101100,140,51,013,47900,548,,,Census Tract 1011,5159,2040,4574,1879,5159,4574
51013101200,140,51,013,47900,548,,,Census Tract 1012,3537,1330,3584,1461,3537,3584
51013101300,140,51,013,47900,548,,,Census Tract 1013,6091,2325,5658,2305,6091,5658
51013101401,140,51,013,47900,548,,,Census Tract 1014.01,1225,762,812,514,1225,812
51013101402,140,51,013,47900,548,,,Census Tract 1014.02,2712,1459,1678,910,2712,1678
51013101403,140,51,013,47900,548,,,Census Tract 1014.03,5609,3971,3472,2478,5609,3472
51013101500,140,51,013,47900,548,,,Census Tract 1015,7101,3762,6013,3107,7101,6013
51013101601,140,51,013,47900,548,,,Census Tract 1016.01,1313,707,1124,632,1313,1124
51013101602,140,51,013,47900,548,,,Census Tract 1016.02,1580,1061,1353,949,1580,1353
51013101603,140,51,013,47900,548,,,Census Tract 1016.03,3526,2203,3021,1972,3526,3021
51013101802,140,51,013,47900,548,,,Census Tract 1018.02,6072,3660,4337,2687,6072,4337
51013101803,140,51,013,47900,548,,,Census Tract 1018.03,3882,2141,2773,1572,3882,2773
51013102001,140,51,013,47900,548,,,Census Tract 1020.01,2248,1160,2454,1120,2248,2454
51013102002,140,51,013,47900,548,,,Census Tract 1020.02,1334,619,1456,597,1334,1456
51013102003,140,51,013,47900,548,,,Census Tract 1020.03,4370,2361,4771,2279,4370,4771
51013102100,140,51,013,47900,548,,,Census Tract 1021,2266,929,2211,915,2266,2211
51013102200,140,51,013,47900,548,,,Census Tract 1022,7575,2697,7576,2571,7575,7576
51013102302,140,51,013,47900,548,,,Census Tract 1023.02,3913,1497,3940,1457,3913,3940
51013102400,140,51,013,47900,548,,,Census Tract 1024,3519,1640,3450,1558,3519,3450
51013102702,140,51,013,47900,548,,,Census Tract 1027.02,1764,836,2361,834,1764,2361
51013102901,140,51,013,47900,548,,,Census Tract 1029.01,2740,1714,2467,1496,2740,2467
51013102902,140,51,013,47900,548,,,Census Tract 1029.02,4461,2737,4017,2390,4461,4017
51013103000,140,51,013,47900,548,,,Census Tract 1030,3093,1730,3090,1730,3093,3090
51013103200,140,51,013,47900,548,,,Census Tract 1032,5306,2933,5041,2740,5306,5041
